Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,BadPass,LostBall,Shoot Foul Commit,Shoot Foul Drawn,Off Foul Commit,Off Foul Drawn,PGA,And1,Blkd,Avg Dist on Shot,0-3 FGA,0-3 FG%,3-10 FGA,3-10 FG%,10-16 FGA,10-16 FG%,16-3P FGA,16-3P FG%,Player Key,All NBA 1st,All NBA 2nd,All NBA 3rd,All NBA,All NBA 1st2,All NBA 2nd2,All NBA 3rd2,All NBA Prev
Stephen Curry,PG,31.0,GSW,5.0,5.0,27.8,6.6,16.4,0.402,2.4,9.8,0.245,4.2,6.6,0.636,5.2,5.2,1.0,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8,109.0,113.0,2020,21.7,0.557,0.598,0.317,3.0,17.8,10.1,42.3,1.7,1.3,14.6,33.6,0.2,0.1,0.3,0.103,4.5,-0.6,3.9,0.2,1.0,0.0,0.0,0.0,0.0,-14.9,-6.4,9.0,4.0,3.0,13.0,2.0,1.0,77.0,3.0,4.0,19.8,0.207,0.706,0.061,0.4,0.012,1.0,0.122,0.6,Stephen Curry2020,0,0,0,0,0,0,0,0
Troy Daniels,SG,28.0,TOT,47.0,0.0,11.3,1.5,4.0,0.387,1.0,2.8,0.348,0.6,1.1,0.481,0.2,0.3,0.625,0.3,0.9,1.1,0.4,0.2,0.1,0.3,0.8,4.3,105.0,112.0,2020,8.4,0.518,0.71,0.086,2.5,8.2,5.4,4.3,1.0,0.5,5.9,16.3,0.1,0.5,0.6,0.056,-1.7,-1.2,-2.9,-0.1,0.01,0.43,0.55,0.02,0.0,2.4,-1.7,3.0,3.0,19.0,7.0,2.0,1.0,42.0,4.0,4.0,21.5,0.054,0.7,0.065,0.5,0.065,0.5,0.108,0.35,Troy Daniels2020,0,0,0,0,0,0,0,0
Anthony Davis,PF,26.0,LAL,62.0,62.0,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,7.2,8.5,0.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,121.0,102.0,2020,27.4,0.61,0.199,0.479,7.4,22.1,14.8,15.1,2.0,6.0,10.4,29.3,6.7,4.4,11.1,0.25,5.4,2.6,8.0,5.4,0.0,0.0,0.0,0.6,0.4,4.7,-3.0,70.0,47.0,99.0,179.0,16.0,16.0,487.0,54.0,41.0,11.1,0.343,0.758,0.172,0.413,0.155,0.412,0.13,0.322,Anthony Davis2020,0,0,0,0,1,0,0,1
Ed Davis,C,30.0,UTA,28.0,1.0,10.8,0.8,1.6,0.478,0.0,0.0,0.0,0.8,1.6,0.478,0.3,0.5,0.5,1.3,2.5,3.8,0.4,0.4,0.3,0.5,2.2,1.8,110.0,106.0,2020,9.5,0.489,0.0,0.304,13.2,24.6,19.1,5.2,1.8,2.5,20.0,9.4,0.2,0.5,0.6,0.102,-4.6,1.5,-3.2,-0.1,0.0,0.0,0.0,0.0,1.0,-16.5,-20.5,4.0,1.0,38.0,4.0,4.0,0.0,31.0,2.0,6.0,3.2,0.609,0.607,0.37,0.235,0.0,0.0,0.022,1.0,Ed Davis2020,0,0,0,0,0,0,0,0
Terence Davis,SG,22.0,TOR,72.0,4.0,16.8,2.8,6.1,0.456,1.3,3.4,0.388,1.5,2.7,0.541,0.7,0.8,0.864,0.7,2.6,3.3,1.6,0.5,0.2,1.1,1.7,7.5,111.0,106.0,2020,13.8,0.588,0.555,0.135,4.5,16.0,10.3,14.2,1.5,1.1,14.1,19.0,1.2,1.9,3.1,0.122,0.1,0.7,0.8,0.8,0.07,0.61,0.33,0.0,0.0,8.6,3.0,38.0,18.0,53.0,26.0,9.0,4.0,281.0,11.0,28.0,15.8,0.305,0.677,0.089,0.282,0.037,0.188,0.014,0.167,Terence Davis2020,0,0,0,0,0,0,0,0
Dewayne Dedmon,C,30.0,TOT,44.0,18.0,17.6,2.3,5.8,0.4,0.5,2.4,0.206,1.8,3.4,0.541,0.7,0.8,0.833,1.4,4.3,5.7,0.5,0.6,0.9,1.3,3.0,5.8,90.0,108.0,2020,9.4,0.473,0.42,0.141,8.5,27.6,17.8,4.0,1.5,4.8,17.4,18.1,-1.0,1.0,0.1,0.005,-5.8,0.0,-5.8,-0.7,0.0,0.0,0.0,0.0,1.0,-1.9,3.4,22.0,10.0,68.0,18.0,17.0,7.0,51.0,8.0,13.0,13.5,0.325,0.675,0.153,0.333,0.047,0.417,0.055,0.429,Dewayne Dedmon2020,0,0,0,0,0,0,0,0
Matthew Dellavedova,PG,29.0,CLE,57.0,4.0,14.4,1.1,3.1,0.354,0.4,1.6,0.231,0.7,1.5,0.488,0.6,0.6,0.865,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1,103.0,118.0,2020,8.1,0.463,0.52,0.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,0.1,0.1,0.2,0.011,-3.6,-1.6,-5.2,-0.7,0.84,0.14,0.02,0.0,0.0,0.3,11.2,43.0,12.0,26.0,11.0,3.0,19.0,419.0,3.0,7.0,16.6,0.137,0.542,0.229,0.4,0.103,0.611,0.011,0.5,Matthew Dellavedova2020,0,0,0,0,0,0,0,0
DeMar DeRozan,SF,30.0,SAS,68.0,68.0,34.1,8.2,15.4,0.531,0.1,0.5,0.257,8.1,14.9,0.54,5.6,6.6,0.845,0.6,4.9,5.5,5.6,1.0,0.3,2.4,2.6,22.1,118.0,115.0,2020,21.6,0.603,0.033,0.43,2.0,15.4,8.7,26.1,1.4,0.8,11.6,26.3,5.9,1.3,7.3,0.151,2.3,-0.4,1.9,2.3,0.0,0.0,0.71,0.29,0.0,-2.5,-4.1,60.0,62.0,84.0,216.0,19.0,11.0,969.0,51.0,64.0,9.9,0.266,0.731,0.248,0.488,0.263,0.475,0.19,0.432,DeMar DeRozan2020,0,0,0,0,0,0,0,0
Cheick Diallo,C,23.0,PHO,47.0,2.0,10.2,2.0,3.0,0.648,0.0,0.1,0.333,1.9,3.0,0.655,0.7,0.8,0.872,0.6,2.1,2.8,0.5,0.2,0.3,0.7,1.2,4.7,119.0,110.0,2020,16.5,0.688,0.021,0.275,6.9,23.7,15.2,6.9,1.1,2.2,16.7,17.0,0.8,0.5,1.3,0.132,-1.1,-0.2,-1.3,0.1,0.0,0.0,0.0,0.18,0.82,-5.7,-7.0,13.0,6.0,33.0,17.0,5.0,3.0,50.0,3.0,11.0,5.0,0.613,0.77,0.19,0.444,0.099,0.571,0.077,0.364,Cheick Diallo2020,0,0,0,0,0,0,0,0
Hamidou Diallo,SF,21.0,OKC,46.0,3.0,19.5,2.9,6.4,0.446,0.3,1.2,0.281,2.5,5.2,0.485,0.8,1.4,0.603,1.0,2.7,3.6,0.8,0.8,0.2,1.1,2.2,6.9,94.0,109.0,2020,9.3,0.491,0.193,0.213,5.6,14.7,10.3,5.9,2.0,0.9,13.6,18.4,-0.7,1.1,0.4,0.022,-4.2,0.3,-3.9,-0.4,0.0,0.19,0.71,0.1,0.0,1.0,-1.0,16.0,16.0,47.0,34.0,13.0,19.0,92.0,10.0,21.0,8.4,0.47,0.633,0.223,0.242,0.071,0.333,0.044,0.385,Hamidou Diallo2020,0,0,0,0,0,0,0,0
Gorgui Dieng,C,30.0,TOT,63.0,17.0,17.4,2.6,5.8,0.456,0.9,2.4,0.355,1.8,3.4,0.528,1.2,1.6,0.772,1.4,4.2,5.6,1.2,0.8,0.9,1.0,2.0,7.4,113.0,106.0,2020,17.1,0.568,0.418,0.277,8.5,25.8,17.0,9.7,2.2,4.5,12.8,17.6,1.3,1.7,2.9,0.129,-0.2,1.8,1.5,1.0,0.0,0.0,0.0,0.05,0.95,-3.3,-0.8,17.0,10.0,61.0,38.0,10.0,20.0,177.0,8.0,23.0,14.6,0.297,0.676,0.102,0.324,0.077,0.393,0.107,0.41,Gorgui Dieng2020,0,0,0,0,0,0,0,0
Spencer Dinwiddie,PG,26.0,BRK,64.0,49.0,31.2,6.6,16.0,0.415,1.9,6.3,0.308,4.7,9.7,0.485,5.4,7.0,0.778,0.5,3.0,3.5,6.8,0.6,0.3,2.7,2.8,20.6,111.0,113.0,2020,17.8,0.541,0.392,0.437,1.7,9.6,5.7,35.0,0.9,0.9,12.5,29.2,3.2,1.6,4.8,0.116,2.7,-0.8,1.8,1.9,0.4,0.57,0.03,0.0,0.0,0.8,3.2,103.0,22.0,64.0,201.0,30.0,14.0,1033.0,40.0,53.0,13.3,0.31,0.637,0.191,0.354,0.078,0.263,0.028,0.31,Spencer Dinwiddie2020,0,0,0,0,0,0,0,0
Donte DiVincenzo,SG,23.0,MIL,66.0,24.0,23.0,3.5,7.7,0.455,1.3,3.7,0.336,2.3,4.0,0.567,1.0,1.3,0.733,1.0,3.8,4.8,2.3,1.3,0.3,1.4,1.7,9.2,108.0,101.0,2020,14.1,0.557,0.484,0.169,4.6,15.5,10.3,13.6,2.6,1.2,14.1,17.3,1.0,3.2,4.3,0.135,-1.1,2.4,1.3,1.3,0.33,0.64,0.03,0.0,0.0,13.3,5.8,49.0,22.0,47.0,32.0,11.0,21.0,360.0,4.0,27.0,15.3,0.341,0.655,0.084,0.302,0.039,0.45,0.051,0.5,Donte DiVincenzo2020,0,0,0,0,0,0,0,0
Luka Dončić,PG,20.0,DAL,61.0,61.0,33.6,9.5,20.6,0.463,2.8,8.9,0.316,6.7,11.7,0.574,7.0,9.2,0.758,1.3,8.1,9.4,8.8,1.0,0.2,4.3,2.5,28.8,116.0,110.0,2020,27.6,0.585,0.431,0.448,4.1,25.0,14.7,45.7,1.5,0.6,14.8,36.8,6.5,2.3,8.8,0.207,7.4,1.0,8.4,5.4,0.77,0.23,0.0,0.0,0.0,5.4,1.2,153.0,62.0,49.0,248.0,34.0,11.0,1320.0,80.0,67.0,14.5,0.26,0.752,0.237,0.436,0.058,0.37,0.014,0.471,Luka Dončić2020,0,0,0,0,1,0,0,1
Luguentz Dort,SF,20.0,OKC,36.0,28.0,22.8,2.4,6.1,0.394,0.8,2.8,0.297,1.6,3.3,0.479,1.2,1.5,0.792,0.7,1.6,2.3,0.8,0.9,0.1,0.6,2.7,6.8,103.0,111.0,2020,7.6,0.506,0.463,0.243,3.3,7.5,5.5,4.6,1.8,0.4,8.4,14.1,0.1,0.8,0.8,0.049,-4.1,0.4,-3.7,-0.4,0.03,0.21,0.74,0.02,0.0,3.6,2.5,10.0,4.0,43.0,26.0,2.0,21.0,64.0,9.0,12.0,13.2,0.372,0.605,0.142,0.226,0.023,0.0,0.0,0.0,Luguentz Dort2020,0,0,0,0,0,0,0,0
Damyean Dotson,SG,25.0,NYK,48.0,0.0,17.4,2.5,6.0,0.414,1.2,3.4,0.362,1.3,2.6,0.48,0.5,0.7,0.667,0.2,1.7,1.9,1.2,0.5,0.1,0.4,0.9,6.7,109.0,116.0,2020,10.9,0.527,0.562,0.114,1.2,10.6,5.8,10.0,1.3,0.5,6.5,16.5,0.6,0.4,0.9,0.053,-0.9,-0.5,-1.5,0.1,0.03,0.81,0.16,0.0,0.0,-4.6,2.4,13.0,4.0,28.0,13.0,1.0,5.0,144.0,2.0,7.0,19.6,0.128,0.676,0.055,0.25,0.062,0.389,0.193,0.446,Damyean Dotson2020,0,0,0,0,0,0,0,0
Sekou Doumbouya,PF,19.0,DET,38.0,19.0,19.8,2.4,6.2,0.39,0.7,2.6,0.286,1.7,3.6,0.464,0.8,1.2,0.674,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4,90.0,114.0,2020,6.2,0.474,0.415,0.195,3.0,14.9,8.9,3.6,1.3,0.9,12.0,16.9,-0.8,0.5,-0.3,-0.02,-5.3,-1.4,-6.7,-0.9,0.0,0.0,0.15,0.86,0.0,-10.9,-8.9,3.0,9.0,29.0,28.0,10.0,3.0,45.0,10.0,27.0,12.9,0.326,0.545,0.195,0.391,0.03,0.286,0.034,0.25,Sekou Doumbouya2020,0,0,0,0,0,0,0,0
PJ Dozier,SG,23.0,DEN,29.0,0.0,14.2,2.2,5.4,0.414,0.6,1.7,0.347,1.7,3.7,0.444,0.7,1.0,0.724,0.3,1.6,1.9,2.2,0.5,0.2,0.9,1.6,5.8,102.0,112.0,2020,11.6,0.495,0.312,0.185,2.7,12.2,7.5,21.6,1.7,1.3,13.7,20.8,0.0,0.4,0.4,0.044,-2.6,-1.3,-3.9,-0.2,0.5,0.43,0.06,0.0,0.0,-4.9,-8.1,16.0,4.0,14.0,13.0,5.0,6.0,153.0,2.0,9.0,14.5,0.197,0.677,0.197,0.258,0.185,0.414,0.108,0.412,PJ Dozier2020,0,0,0,0,0,0,0,0
Goran Dragić,PG,33.0,MIA,59.0,3.0,28.2,5.4,12.3,0.441,2.1,5.7,0.367,3.3,6.5,0.505,3.2,4.2,0.776,0.5,2.7,3.2,5.1,0.7,0.2,2.4,2.1,16.2,110.0,113.0,2020,16.3,0.573,0.467,0.34,2.0,10.2,6.3,29.2,1.2,0.6,14.8,25.9,2.2,1.3,3.5,0.102,1.4,-1.6,-0.1,0.8,1.0,0.0,0.0,0.0,0.0,3.3,0.8,87.0,24.0,46.0,77.0,17.0,18.0,718.0,14.0,27.0,16.2,0.182,0.697,0.152,0.391,0.106,0.338,0.093,0.507,Goran Dragić2020,0,0,0,0,0,0,0,0
Andre Drummond,C,26.0,TOT,57.0,56.0,33.0,7.3,13.8,0.533,0.1,0.6,0.143,7.2,13.1,0.551,3.0,5.2,0.575,4.4,10.8,15.2,2.7,1.9,1.6,3.6,3.5,17.7,104.0,103.0,2020,22.0,0.553,0.045,0.375,14.9,37.5,26.0,13.6,2.8,4.2,18.2,25.9,0.6,3.6,4.2,0.108,-0.1,1.1,0.9,1.4,0.0,0.0,0.0,0.0,1.0,-5.9,0.3,68.0,53.0,83.0,142.0,41.0,7.0,374.0,31.0,93.0,4.3,0.589,0.662,0.334,0.393,0.027,0.19,0.005,0.0,Andre Drummond2020,0,0,0,0,0,0,0,0
Jared Dudley,PF,34.0,LAL,45.0,1.0,8.1,0.5,1.3,0.4,0.4,0.9,0.429,0.1,0.4,0.333,0.0,0.0,1.0,0.1,1.0,1.2,0.6,0.3,0.1,0.2,0.9,1.5,117.0,108.0,2020,7.8,0.558,0.7,0.033,1.8,13.7,7.8,9.5,2.0,0.7,11.6,8.0,0.3,0.5,0.8,0.102,-2.8,2.0,-0.8,0.1,0.0,0.0,0.18,0.79,0.03,3.7,-2.3,6.0,1.0,19.0,0.0,0.0,5.0,67.0,0.0,2.0,19.5,0.167,0.3,0.067,0.5,0.0,0.0,0.067,0.25,Jared Dudley2020,0,0,0,0,0,0,0,0
Kris Dunn,PG,25.0,CHI,51.0,32.0,24.9,3.0,6.7,0.444,0.6,2.2,0.259,2.4,4.5,0.535,0.8,1.1,0.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3,104.0,106.0,2020,12.1,0.51,0.327,0.158,1.9,14.9,8.1,19.4,3.8,1.3,15.7,14.6,0.3,2.0,2.3,0.085,-3.7,3.1,-0.6,0.4,0.81,0.19,0.0,0.0,0.0,-0.6,4.6,37.0,12.0,65.0,23.0,11.0,8.0,420.0,8.0,20.0,11.3,0.398,0.647,0.187,0.438,0.056,0.263,0.032,0.182,Kris Dunn2020,0,0,0,0,0,0,0,0
Carsen Edwards,SG,21.0,BOS,37.0,0.0,9.5,1.1,3.5,0.328,0.6,2.1,0.316,0.5,1.4,0.346,0.4,0.5,0.684,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,3.3,92.0,109.0,2020,6.9,0.444,0.594,0.148,1.9,12.4,7.2,9.3,1.7,1.1,9.9,18.4,-0.3,0.4,0.1,0.014,-4.4,-0.2,-4.6,-0.2,0.12,0.87,0.01,0.0,0.0,-6.1,-14.0,10.0,0.0,18.0,6.0,2.0,4.0,54.0,1.0,7.0,19.4,0.141,0.389,0.07,0.0,0.063,0.25,0.133,0.529,Carsen Edwards2020,0,0,0,0,0,0,0,0
Henry Ellenson,C,23.0,BRK,5.0,0.0,3.0,0.2,1.4,0.143,0.0,0.8,0.0,0.2,0.6,0.333,0.0,0.0,0.0,0.4,0.8,1.2,0.2,0.0,0.0,0.0,0.2,0.4,60.0,111.0,2020,-1.3,0.143,0.571,0.0,14.1,27.0,20.7,8.7,0.0,0.0,0.0,19.5,-0.1,0.0,-0.1,-0.183,-7.8,-3.1,-10.9,0.0,0.0,0.0,0.0,0.22,0.78,36.9,37.7,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,16.0,0.286,0.5,0.143,0.0,0.0,0.0,0.0,0.0,Henry Ellenson2020,0,0,0,0,0,0,0,0
Wayne Ellington,SG,32.0,NYK,36.0,1.0,15.5,1.7,4.8,0.351,1.4,4.0,0.35,0.3,0.9,0.355,0.3,0.4,0.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1,105.0,116.0,2020,8.5,0.509,0.822,0.075,0.7,12.0,6.2,11.0,1.1,0.7,9.1,15.0,0.2,0.2,0.4,0.035,-1.9,-0.9,-2.9,-0.1,0.12,0.85,0.03,0.0,0.0,-2.1,5.1,7.0,6.0,20.0,4.0,3.0,3.0,106.0,1.0,5.0,23.1,0.046,0.75,0.029,0.0,0.006,1.0,0.098,0.235,Wayne Ellington2020,0,0,0,0,0,0,0,0
Joel Embiid,C,25.0,PHI,51.0,51.0,29.5,7.5,15.7,0.477,1.1,3.4,0.331,6.4,12.3,0.517,6.9,8.5,0.807,2.8,8.9,11.6,3.0,0.9,1.3,3.1,3.4,23.0,113.0,104.0,2020,25.8,0.59,0.215,0.543,10.3,33.2,21.7,16.9,1.4,3.7,13.8,32.9,3.3,2.7,6.0,0.192,3.7,1.0,4.7,2.5,0.0,0.0,0.0,0.0,1.0,5.2,5.0,50.0,56.0,80.0,177.0,31.0,9.0,361.0,44.0,42.0,12.4,0.255,0.725,0.195,0.468,0.202,0.407,0.134,0.355,Joel Embiid2020,0,0,0,0,0,0,0,0
James Ennis,SF-SG,29.0,TOT,69.0,18.0,18.3,2.3,5.2,0.446,0.8,2.4,0.325,1.5,2.8,0.553,1.1,1.4,0.806,1.0,2.5,3.6,0.9,0.5,0.3,0.8,2.0,6.6,111.0,110.0,2020,11.5,0.565,0.471,0.273,6.1,15.3,10.6,7.0,1.3,1.5,12.6,15.7,1.0,1.4,2.4,0.09,-2.2,-0.4,-2.6,-0.2,0.0,0.03,0.84,0.13,0.0,0.9,0.3,21.0,17.0,64.0,46.0,15.0,11.0,149.0,8.0,21.0,14.0,0.373,0.649,0.089,0.313,0.039,0.286,0.028,0.4,James Ennis2020,0,0,0,0,0,0,0,0
Drew Eubanks,C,22.0,SAS,22.0,3.0,12.4,2.0,3.0,0.642,0.0,0.0,1.0,1.9,3.0,0.636,0.9,1.2,0.769,1.3,2.6,3.9,0.7,0.2,0.8,1.0,1.7,4.9,120.0,111.0,2020,17.3,0.682,0.015,0.388,11.1,22.6,16.8,7.7,0.9,5.5,21.1,15.8,0.5,0.3,0.8,0.134,-1.4,-0.3,-1.7,0.0,0.0,0.0,0.01,0.14,0.85,-11.5,-11.3,9.0,5.0,24.0,11.0,5.0,2.0,38.0,1.0,8.0,5.2,0.478,0.75,0.403,0.556,0.06,0.5,0.045,0.333,Drew Eubanks2020,0,0,0,0,0,0,0,0
Jacob Evans,SG,22.0,TOT,29.0,1.0,14.4,1.6,4.6,0.336,0.4,1.3,0.333,1.1,3.3,0.337,0.9,1.0,0.862,0.3,1.1,1.4,1.1,0.4,0.4,0.9,1.4,4.4,86.0,116.0,2020,5.5,0.436,0.291,0.216,2.3,8.6,5.3,10.8,1.3,2.6,14.6,17.5,-0.7,0.2,-0.5,-0.056,-5.8,-1.3,-7.1,-0.5,0.24,0.65,0.11,0.0,0.0,-10.3,-3.8,17.0,3.0,27.0,14.0,2.0,6.0,74.0,1.0,11.0,16.2,0.119,0.375,0.104,0.214,0.194,0.385,0.291,0.333,Jacob Evans2020,0,0,0,0,0,0,0,0
Dante Exum,SG,24.0,TOT,35.0,1.0,13.9,1.6,3.4,0.471,0.4,1.2,0.349,1.2,2.2,0.539,0.9,1.2,0.744,0.3,1.6,1.9,1.1,0.4,0.2,0.9,1.1,4.5,106.0,115.0,2020,10.3,0.576,0.361,0.361,2.7,12.6,7.7,11.5,1.3,1.4,18.4,15.0,0.2,0.2,0.4,0.043,-2.5,-0.4,-2.9,-0.1,0.07,0.69,0.24,0.01,0.0,-9.6,-7.5,18.0,6.0,14.0,21.0,3.0,8.0,93.0,3.0,9.0,11.4,0.378,0.644,0.252,0.367,0.008,1.0,0.0,0.0,Dante Exum2020,0,0,0,0,0,0,0,0
Tacko Fall,C,24.0,BOS,7.0,0.0,4.7,1.6,2.0,0.786,0.0,0.0,0.0,1.6,2.0,0.786,0.1,0.4,0.333,0.1,2.0,2.1,0.1,0.1,0.6,0.4,1.0,3.3,115.0,93.0,2020,28.4,0.751,0.0,0.214,3.3,44.9,24.3,5.8,1.5,11.2,16.4,23.7,0.1,0.1,0.2,0.223,0.4,6.0,6.5,0.1,0.0,0.0,0.0,0.0,1.0,14.8,8.4,0.0,2.0,6.0,2.0,0.0,0.0,2.0,1.0,1.0,2.6,0.643,0.889,0.357,0.6,0.0,0.0,0.0,0.0,Tacko Fall2020,0,0,0,0,0,0,0,0
Derrick Favors,C,28.0,NOP,51.0,49.0,24.4,4.1,6.6,0.617,0.0,0.1,0.143,4.1,6.5,0.627,0.8,1.4,0.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9.0,126.0,109.0,2020,18.5,0.62,0.021,0.209,13.9,28.9,21.4,9.2,1.1,3.1,12.9,14.0,2.6,1.6,4.2,0.162,0.7,0.3,1.0,0.9,0.0,0.0,0.0,0.0,1.0,4.5,9.0,28.0,4.0,69.0,39.0,12.0,3.0,210.0,14.0,25.0,4.0,0.681,0.706,0.192,0.462,0.074,0.44,0.032,0.364,Derrick Favors2020,0,0,0,0,0,0,0,0
Cristiano Felício,C,27.0,CHI,22.0,0.0,17.5,1.5,2.5,0.63,0.0,0.1,0.0,1.5,2.4,0.654,0.8,1.0,0.783,2.5,2.1,4.6,0.7,0.5,0.1,0.8,1.5,3.9,130.0,112.0,2020,12.8,0.671,0.037,0.426,15.0,14.1,14.6,5.7,1.2,0.5,21.9,9.1,0.7,0.3,1.0,0.126,-1.4,-1.6,-3.0,-0.1,0.0,0.0,0.0,0.08,0.92,-8.4,-5.7,8.0,4.0,14.0,12.0,4.0,0.0,42.0,3.0,7.0,3.5,0.667,0.75,0.222,0.5,0.056,0.333,0.019,0.0,Cristiano Felício2020,0,0,0,0,0,0,0,0
Terrance Ferguson,SF,21.0,OKC,56.0,38.0,22.4,1.4,3.9,0.355,0.9,3.0,0.292,0.5,0.9,0.558,0.3,0.4,0.75,0.4,0.9,1.3,0.9,0.5,0.3,0.6,2.8,3.9,97.0,114.0,2020,3.7,0.481,0.764,0.091,2.1,4.4,3.3,5.3,1.0,1.2,11.9,9.1,-0.3,0.9,0.6,0.021,-4.8,0.3,-4.5,-0.8,0.0,0.03,0.89,0.08,0.0,-4.4,-9.4,14.0,6.0,67.0,9.0,6.0,17.0,127.0,2.0,5.0,20.4,0.123,0.63,0.05,0.364,0.014,0.667,0.05,0.545,Terrance Ferguson2020,0,0,0,0,0,0,0,0
Bruno Fernando,C,21.0,ATL,56.0,13.0,12.7,1.8,3.6,0.518,0.1,0.7,0.135,1.8,2.9,0.605,0.5,0.9,0.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3,107.0,114.0,2020,11.9,0.542,0.186,0.256,10.0,20.0,15.0,9.9,1.2,2.0,15.9,15.3,0.4,0.4,0.8,0.055,-3.2,-0.9,-4.1,-0.4,0.0,0.0,0.0,0.11,0.89,-6.4,2.0,20.0,13.0,65.0,24.0,6.0,3.0,119.0,8.0,20.0,7.0,0.578,0.713,0.186,0.297,0.04,0.625,0.01,0.0,Bruno Fernando2020,0,0,0,0,0,0,0,0
Yogi Ferrell,PG,26.0,SAC,50.0,0.0,10.6,1.6,3.8,0.42,0.5,1.6,0.304,1.1,2.2,0.505,0.7,0.8,0.857,0.1,0.9,1.0,1.4,0.4,0.1,0.6,0.8,4.4,107.0,114.0,2020,12.2,0.528,0.42,0.223,1.2,9.4,5.2,18.8,1.6,0.7,11.9,19.2,0.3,0.3,0.7,0.06,-1.5,-0.3,-1.8,0.0,1.0,0.0,0.0,0.0,0.0,-2.6,-0.6,14.0,4.0,11.0,13.0,3.0,16.0,170.0,1.0,10.0,17.4,0.149,0.571,0.053,0.2,0.186,0.514,0.191,0.528,Yogi Ferrell2020,0,0,0,0,0,0,0,0
Dorian Finney-Smith,PF,26.0,DAL,71.0,68.0,29.9,3.4,7.4,0.466,1.6,4.3,0.376,1.8,3.1,0.589,1.1,1.5,0.722,2.0,3.7,5.7,1.6,0.6,0.5,1.0,2.5,9.5,122.0,113.0,2020,12.3,0.595,0.58,0.207,7.3,12.7,10.0,7.2,1.0,1.6,10.8,12.9,3.3,1.5,4.9,0.11,0.1,-0.3,-0.2,0.9,0.0,0.0,0.47,0.52,0.02,7.0,4.9,31.0,17.0,81.0,50.0,11.0,9.0,282.0,10.0,32.0,15.5,0.326,0.659,0.069,0.361,0.006,0.333,0.019,0.3,Dorian Finney-Smith2020,0,0,0,0,0,0,0,0
Bryn Forbes,SG,26.0,SAS,63.0,62.0,25.1,3.8,9.2,0.417,2.3,6.0,0.388,1.5,3.2,0.47,1.2,1.4,0.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2,110.0,118.0,2020,11.1,0.57,0.656,0.155,0.8,7.8,4.3,9.5,1.0,0.0,8.4,18.5,1.3,0.3,1.5,0.047,-0.6,-2.1,-2.7,-0.3,0.26,0.74,0.01,0.0,0.0,-7.0,-10.6,22.0,17.0,59.0,38.0,7.0,4.0,246.0,8.0,28.0,21.0,0.069,0.675,0.081,0.404,0.048,0.393,0.146,0.435,Bryn Forbes2020,0,0,0,0,0,0,0,0
Evan Fournier,SF,27.0,ORL,66.0,66.0,31.5,6.6,14.1,0.467,2.6,6.6,0.399,4.0,7.5,0.527,2.7,3.3,0.818,0.3,2.3,2.6,3.2,1.1,0.2,1.9,2.4,18.5,112.0,112.0,2020,16.4,0.595,0.467,0.237,0.9,8.2,4.4,16.6,1.7,0.7,10.9,23.9,2.9,1.7,4.6,0.106,1.4,-0.4,1.0,1.6,0.0,0.54,0.46,0.0,0.0,-1.9,-2.1,52.0,40.0,51.0,89.0,19.0,16.0,470.0,25.0,30.0,16.5,0.174,0.691,0.147,0.474,0.104,0.381,0.107,0.475,Evan Fournier2020,0,0,0,0,0,0,0,0
De'Aaron Fox,PG,22.0,SAC,51.0,49.0,32.0,7.7,16.0,0.48,1.1,3.6,0.292,6.6,12.4,0.535,4.7,6.7,0.705,0.7,3.2,3.8,6.8,1.5,0.5,3.1,2.8,21.1,111.0,112.0,2020,20.6,0.558,0.227,0.42,2.4,11.4,6.8,35.3,2.2,1.5,14.1,29.8,2.6,1.4,4.0,0.118,2.3,-0.5,1.8,1.6,0.98,0.02,0.0,0.0,0.0,-4.2,-4.0,83.0,53.0,53.0,169.0,16.0,23.0,884.0,35.0,48.0,10.8,0.312,0.665,0.266,0.452,0.135,0.391,0.06,0.551,De'Aaron Fox2020,0,0,0,0,0,0,0,0
