Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,year,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt +/-,On-Off +/-,BadPass,LostBall,Shoot Foul Commit,Shoot Foul Drawn,Off Foul Commit,Off Foul Drawn,PGA,And1,Blkd,Avg Dist on Shot,0-3 FGA,0-3 FG%,3-10 FGA,3-10 FG%,10-16 FGA,10-16 FG%,16-3P FGA,16-3P FG%,Player Key,All NBA 1st,All NBA 2nd,All NBA 3rd,All NBA,All NBA 1st2,All NBA 2nd2,All NBA 3rd2,All NBA Prev
Luka Šamanić,PF,20.0,SAS,3.0,1.0,16.0,1.7,5.3,0.313,1.0,2.7,0.375,0.7,2.7,0.25,1.0,1.3,0.75,0.3,3.0,3.3,2.0,0.0,0.7,0.7,2.0,5.3,98.0,115.0,2020,8.8,0.45,0.5,0.25,2.2,20.2,11.2,16.3,0.0,3.7,10.1,17.8,0.0,0.0,0.0,0.011,-2.4,-1.7,-4.1,0.0,0.0,0.0,0.0,0.3,0.7,6.1,7.3,0.0,1.0,0.0,2.0,1.0,1.0,14.0,0.0,2.0,16.4,0.188,0.333,0.188,0.0,0.063,0.0,0.063,1.0,Luka Šamanić2020,0,0,0,0,0,0,0,0
JaKarr Sampson,PF,26.0,IND,34.0,12.0,13.9,2.0,3.4,0.591,0.1,0.4,0.154,1.9,3.0,0.647,0.5,0.8,0.667,0.6,2.0,2.6,0.6,0.5,0.4,0.4,1.9,4.6,118.0,108.0,2020,12.6,0.615,0.113,0.235,4.7,15.7,10.2,6.1,1.6,2.2,10.6,13.2,0.6,0.7,1.2,0.124,-2.8,1.4,-1.4,0.1,0.0,0.0,0.59,0.34,0.07,1.3,-1.2,5.0,3.0,29.0,14.0,5.0,4.0,48.0,5.0,5.0,6.6,0.574,0.773,0.165,0.526,0.104,0.25,0.043,0.4,JaKarr Sampson2020,0,0,0,0,0,0,0,0
Dario Šarić,PF,25.0,PHO,66.0,51.0,24.7,3.9,8.2,0.476,1.3,3.6,0.357,2.6,4.6,0.568,1.6,1.9,0.844,1.5,4.6,6.2,1.9,0.6,0.2,1.3,2.4,10.7,114.0,112.0,2020,14.2,0.592,0.437,0.238,6.7,21.1,13.8,10.8,1.1,0.9,12.9,17.8,2.1,1.5,3.6,0.105,-0.1,-0.3,-0.4,0.7,0.0,0.0,0.0,0.84,0.16,-1.3,-3.4,40.0,15.0,88.0,58.0,14.0,8.0,286.0,17.0,42.0,14.0,0.32,0.669,0.141,0.395,0.037,0.5,0.065,0.486,Dario Šarić2020,0,0,0,0,0,0,0,0
Tomáš Satoranský,SG,28.0,CHI,65.0,64.0,28.9,3.6,8.5,0.43,1.0,3.1,0.322,2.7,5.4,0.491,1.6,1.9,0.876,1.2,2.7,3.9,5.4,1.2,0.1,2.0,2.1,9.9,111.0,112.0,2020,13.5,0.533,0.361,0.22,4.3,11.0,7.5,27.1,2.1,0.4,17.7,16.7,1.8,1.7,3.5,0.09,-1.1,-0.2,-1.3,0.3,0.53,0.47,0.0,0.0,0.0,-2.5,2.0,88.0,25.0,60.0,51.0,6.0,21.0,852.0,15.0,31.0,12.7,0.287,0.595,0.212,0.402,0.1,0.473,0.04,0.273,Tomáš Satoranský2020,0,0,0,0,0,0,0,0
Admiral Schofield,PF,22.0,WAS,33.0,2.0,11.2,1.1,2.8,0.38,0.6,1.8,0.311,0.5,0.9,0.516,0.3,0.5,0.667,0.2,1.2,1.4,0.5,0.2,0.1,0.2,1.5,3.0,104.0,118.0,2020,6.1,0.502,0.663,0.163,2.0,12.4,7.0,5.3,1.0,0.9,6.6,11.9,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3,0.0,0.0,0.28,0.65,0.07,-7.6,-3.4,2.0,3.0,25.0,5.0,1.0,4.0,33.0,0.0,4.0,18.6,0.152,0.571,0.109,0.4,0.054,0.6,0.022,0.5,Admiral Schofield2020,0,0,0,0,0,0,0,0
Dennis Schröder,SG,26.0,OKC,65.0,2.0,30.8,7.0,14.8,0.469,1.9,5.0,0.385,5.0,9.8,0.513,3.0,3.6,0.839,0.3,3.3,3.6,4.0,0.7,0.2,2.6,2.2,18.9,108.0,112.0,2020,16.7,0.575,0.337,0.245,1.1,11.6,6.5,21.9,1.1,0.6,13.4,27.2,1.9,1.8,3.6,0.087,1.1,-1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,7.8,93.0,42.0,46.0,90.0,16.0,24.0,602.0,20.0,55.0,14.8,0.227,0.639,0.121,0.444,0.174,0.44,0.141,0.456,Dennis Schröder2020,0,0,0,0,0,0,0,0
Mike Scott,PF,31.0,PHI,68.0,11.0,17.8,2.2,5.1,0.426,1.2,3.2,0.369,1.0,2.0,0.519,0.4,0.5,0.811,1.0,2.7,3.6,0.8,0.3,0.1,0.4,1.4,6.0,117.0,112.0,2020,11.2,0.557,0.62,0.106,5.9,16.8,11.3,6.4,0.8,0.4,6.6,14.0,1.4,1.1,2.5,0.1,-0.7,-1.1,-1.8,0.1,0.0,0.0,0.29,0.68,0.03,6.5,6.3,15.0,6.0,48.0,12.0,5.0,3.0,131.0,2.0,8.0,18.2,0.194,0.603,0.086,0.5,0.06,0.381,0.04,0.357,Mike Scott2020,0,0,0,0,0,0,0,0
Thabo Sefolosha,PF,35.0,HOU,41.0,0.0,10.6,0.9,2.2,0.407,0.4,1.3,0.278,0.5,0.9,0.595,0.1,0.2,0.375,0.5,1.8,2.3,0.6,0.6,0.3,0.4,1.0,2.2,103.0,107.0,2020,9.4,0.487,0.593,0.088,5.0,17.5,11.2,7.5,2.5,2.4,13.7,10.4,0.0,0.6,0.7,0.072,-2.9,1.6,-1.2,0.1,0.0,0.0,0.05,0.79,0.16,3.3,0.4,8.0,0.0,21.0,3.0,1.0,2.0,66.0,2.0,5.0,16.9,0.253,0.826,0.066,0.167,0.033,0.333,0.055,0.2,Thabo Sefolosha2020,0,0,0,0,0,0,0,0
Collin Sexton,PG,21.0,CLE,65.0,65.0,33.0,7.9,16.7,0.472,1.5,3.9,0.38,6.4,12.8,0.501,3.5,4.1,0.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8,108.0,118.0,2020,16.3,0.56,0.235,0.246,3.1,7.5,5.3,15.1,1.5,0.3,11.6,27.2,2.1,0.4,2.5,0.057,0.3,-2.1,-1.8,0.1,0.22,0.77,0.01,0.0,0.0,-9.1,-3.3,63.0,63.0,48.0,106.0,14.0,22.0,465.0,28.0,120.0,11.1,0.33,0.615,0.215,0.391,0.153,0.446,0.068,0.419,Collin Sexton2020,0,0,0,0,0,0,0,0
Landry Shamet,SG,22.0,LAC,53.0,30.0,27.4,3.0,7.4,0.404,2.1,5.6,0.375,0.9,1.8,0.495,1.2,1.4,0.855,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.7,9.3,115.0,113.0,2020,8.5,0.58,0.757,0.194,0.4,6.6,3.6,9.1,0.7,0.6,9.0,13.4,1.5,1.1,2.6,0.086,-1.8,-0.3,-2.1,0.0,0.17,0.67,0.16,0.0,0.0,4.5,-3.3,22.0,10.0,63.0,28.0,3.0,11.0,239.0,4.0,14.0,20.7,0.13,0.686,0.043,0.118,0.038,0.533,0.031,0.167,Landry Shamet2020,0,0,0,0,0,0,0,0
Marial Shayok,SG,24.0,PHI,4.0,0.0,7.0,0.8,3.0,0.25,0.5,1.5,0.333,0.3,1.5,0.167,0.8,1.0,0.75,0.3,1.5,1.8,0.3,0.0,0.3,0.8,1.0,2.8,75.0,110.0,2020,1.4,0.4,0.5,0.333,3.9,23.7,13.8,4.8,0.0,3.0,17.9,25.8,-0.1,0.0,-0.1,-0.13,-9.3,-3.7,-13.0,-0.1,0.0,0.89,0.1,0.01,0.0,-19.3,-21.9,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,19.3,0.083,0.0,0.083,1.0,0.083,0.0,0.25,0.0,Marial Shayok2020,0,0,0,0,0,0,0,0
Iman Shumpert,SF,29.0,BRK,13.0,0.0,18.5,1.6,4.9,0.328,0.6,2.5,0.242,1.0,2.4,0.419,0.3,0.5,0.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2,85.0,109.0,2020,5.3,0.403,0.516,0.109,3.9,10.5,7.3,6.7,2.4,0.7,13.0,13.4,-0.3,0.3,0.0,-0.005,-6.3,0.8,-5.5,-0.2,0.0,0.33,0.67,0.0,0.0,-8.9,-8.9,7.0,1.0,8.0,2.0,1.0,5.0,31.0,1.0,1.0,18.5,0.156,0.6,0.031,0.5,0.078,0.4,0.219,0.286,Iman Shumpert2020,0,0,0,0,0,0,0,0
Pascal Siakam,PF,25.0,TOR,60.0,60.0,35.2,8.3,18.4,0.453,2.2,6.1,0.359,6.2,12.3,0.499,4.0,5.1,0.792,1.1,6.3,7.3,3.5,1.0,0.9,2.5,2.8,22.9,107.0,105.0,2020,17.9,0.554,0.331,0.274,3.3,18.3,11.0,16.4,1.4,2.5,10.7,28.1,1.8,3.6,5.4,0.123,1.3,0.5,1.8,2.0,0.0,0.0,0.03,0.78,0.19,9.1,6.2,58.0,37.0,59.0,141.0,30.0,2.0,533.0,38.0,60.0,12.7,0.277,0.703,0.235,0.382,0.074,0.329,0.083,0.304,Pascal Siakam2020,0,0,0,0,0,1,0,1
Chris Silva,PF,23.0,MIA,44.0,0.0,7.9,1.1,1.8,0.615,0.0,0.1,0.0,1.1,1.7,0.64,0.8,1.3,0.673,1.4,1.5,2.9,0.5,0.2,0.5,0.7,1.9,3.0,120.0,106.0,2020,17.3,0.651,0.038,0.705,20.2,20.6,20.4,9.9,1.3,6.0,23.8,17.1,0.7,0.5,1.3,0.178,-3.1,0.8,-2.3,0.0,0.0,0.0,0.04,0.65,0.31,-5.4,-9.2,10.0,8.0,49.0,22.0,12.0,7.0,61.0,1.0,13.0,4.0,0.679,0.755,0.205,0.313,0.051,0.5,0.026,0.5,Chris Silva2020,0,0,0,0,0,0,0,0
Ben Simmons,PG,23.0,PHI,57.0,57.0,35.4,6.6,11.4,0.58,0.0,0.1,0.286,6.5,11.2,0.583,3.2,5.2,0.621,2.0,5.8,7.8,8.0,2.1,0.6,3.5,3.3,16.4,116.0,106.0,2020,20.4,0.602,0.011,0.461,6.2,18.2,12.2,33.8,2.9,1.4,20.4,20.9,3.8,3.1,6.9,0.165,1.3,2.3,3.6,2.8,0.92,0.08,0.0,0.0,0.0,1.2,-2.6,115.0,25.0,55.0,124.0,38.0,25.0,1136.0,24.0,32.0,3.6,0.638,0.719,0.304,0.365,0.04,0.154,0.006,0.0,Ben Simmons2020,0,0,0,0,0,0,1,1
Anfernee Simons,SG,20.0,POR,70.0,4.0,20.7,3.1,7.7,0.399,1.1,3.2,0.332,2.0,4.4,0.448,1.1,1.3,0.826,0.4,1.8,2.2,1.4,0.4,0.1,0.9,1.9,8.3,102.0,119.0,2020,9.0,0.502,0.422,0.172,1.8,9.1,5.5,9.2,0.9,0.6,9.6,18.7,0.0,0.1,0.2,0.005,-2.6,-1.9,-4.5,-0.9,0.52,0.48,0.0,0.0,0.0,-8.0,-11.9,30.0,16.0,61.0,41.0,7.0,6.0,242.0,10.0,38.0,15.9,0.211,0.575,0.131,0.343,0.127,0.353,0.11,0.441,Anfernee Simons2020,0,0,0,0,0,0,0,0
Alen Smailagić,C,19.0,GSW,14.0,0.0,9.9,1.4,2.9,0.5,0.2,0.9,0.231,1.2,1.9,0.63,1.1,1.4,0.842,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1.0,4.2,112.0,115.0,2020,14.5,0.61,0.325,0.475,7.5,13.7,10.5,14.3,1.0,2.6,18.5,18.2,0.2,0.1,0.2,0.081,-1.4,-0.8,-2.2,0.0,0.0,0.0,0.0,0.15,0.85,-5.6,3.4,5.0,3.0,5.0,10.0,1.0,2.0,33.0,3.0,2.0,11.4,0.325,0.846,0.25,0.5,0.075,0.0,0.025,1.0,Alen Smailagić2020,0,0,0,0,0,0,0,0
